;Unnamed: 0;Word;Paragraph;Stage;Idiom;Type
1591;1591;mud;357;5.0;False;noun
1592;1592;royal;357;5.0;False;adjective
1593;1593;taxi;357;5.0;False;noun
1594;1594;captain;358;5.0;False;noun
1595;1595;flag;358;5.0;False;noun
1596;1596;grass;358;5.0;False;noun
1597;1597;live on;358;5.0;False;verb
1598;1598;narrow;358;5.0;False;adjective
1599;1599;national;358;5.0;False;adjective
1600;1600;team;358;5.0;False;noun
1601;1601;wide;358;5.0;False;adverb
1602;1602;dry;359;5.0;False;adjective
1603;1603;loud;359;5.0;False;adverb
1604;1604;threw;359;5.0;False;verb
1605;1605;tower;359;5.0;False;noun
1606;1606;turn down;359;5.0;False;verb
1607;1607;turn up;359;5.0;False;verb
1608;1608;wet;359;5.0;False;adjective
1609;1609;consequently;360;5.0;False;adverb
1610;1610;herself;360;5.0;False;pronoun
1611;1611;himself;360;5.0;False;pronoun
1612;1612;itself;360;5.0;False;pronoun
1613;1613;myself;360;5.0;False;pronoun
1614;1614;oneself;360;5.0;False;pronoun
1615;1615;ourselves;360;5.0;False;pronoun
1616;1616;protect;360;5.0;False;verb
1617;1617;reflexive pronouns;360;5.0;False;adjective
1618;1618;themselves;360;5.0;False;pronoun
1619;1619;yourself;360;5.0;False;pronoun
1620;1620;yourselves;360;5.0;False;noun
1621;1621;accident;362;5.0;False;noun
1622;1622;by accident;362;5.0;False;adposition
1623;1623;thorough;362;5.0;False;adjective
1624;1624;thoroughly;362;5.0;False;adverb
1625;1625;careful;363;5.0;False;adjective
1626;1626;carefully;363;5.0;False;adverb
1627;1627;careless;363;5.0;False;verb
1628;1628;carelessly;363;5.0;False;adverb
1629;1629;carry on;363;5.0;False;verb
1630;1630;own;363;5.0;False;adjective
1631;1631;retire;363;5.0;False;verb
1632;1632;at least;364;5.0;False;adposition
1633;1633;manner;364;5.0;False;noun
1634;1634;pig;364;5.0;False;noun
1635;1635;prize;364;5.0;False;proper noun
1636;1636;too;364;5.0;False;adverb
1637;1637;widely;364;5.0;False;adverb
1638;1638;asleep;365;5.0;False;adjective
1639;1639;awake;365;5.0;False;adjective
1640;1640;hospital;365;5.0;False;noun
1641;1641;in order to ...;365;5.0;False;adposition
1642;1642;nurse;365;5.0;False;noun
1643;1643;purpose;365;5.0;False;noun
1644;1644;so that;365;5.0;False;subordinating conjunction
1645;1645;take exercise;365;5.0;False;verb
1646;1646;lain;366;5.0;False;verb
1647;1647;notice;366;5.0;False;verb
1648;1648;grave;367;5.0;False;noun
1649;1649;indicate;367;5.0;False;verb
1650;1650;point at;367;5.0;False;noun
1651;1651;point out;367;5.0;False;verb
1652;1652;except;368;5.0;False;subordinating conjunction
1653;1653;flame;368;5.0;False;noun
1654;1654;flight;368;5.0;False;noun
1655;1655;neck;368;5.0;False;noun
1656;1656;soup;368;5.0;False;noun
1657;1657;may;369;5.0;False;auxiliary
1658;1658;might;369;5.0;False;auxiliary
1659;1659;palace;369;5.0;False;noun
1660;1660;parliament;369;5.0;False;noun
1661;1661;airport;370;5.0;False;noun
1662;1662;area;370;5.0;False;noun
1663;1663;arrive at;370;5.0;False;verb
1664;1664;arrive in;370;5.0;False;verb
1665;1665;café;370;5.0;False;noun
